,Cost ($),Emission (kg CO2)
0,390678.61347685097,4027696.2847792036
1,388944.7761000939,4065750.0075649037
2,387038.2983736743,4107504.3953599045
3,385131.82064725464,4149258.783154903
4,383225.34292083513,4191013.1709499042
5,381318.86519441544,4232767.558744905
6,379412.3874679959,4274521.946539904
7,377505.90974157624,4316276.334334903
8,375599.4320151566,4358030.722129904
9,373673.04656400083,4400272.908986217
10,,
0,412961.2440679603,4293994.912984122
1,411283.1719218797,4330540.2582884375
2,409443.28730737005,4370484.1135884365
3,407603.40269286034,4410427.9688884355
4,405763.51807835064,4450371.824188437
5,403923.63346384093,4490315.679488436
6,402083.74884933134,4530259.534788436
7,400243.8642348217,4570203.390088437
8,398403.97962031205,4610147.245388436
9,396555.0452093068,4650296.506626239
10,,
0,402018.3000544513,4201698.521449927
1,400349.02289948205,4238806.2868631305
2,398507.6398661749,4279560.359308133
3,396666.25683286786,4320314.431753132
